EW - Edwards Lifesciences,EW/edwards-lifesciences
DUK - Duke Energy,DUK/duke-energy
HCA - HCA Healthcare,HCA/hca-healthcare
BTI - British American Tobacco,BTI/british-american-tobacco
ABB - ABB,ABB/abb
ENB - Enbridge Inc,ENB/enbridge-inc
TFC - Truist Financial,TFC/truist-financial
SNAP - Snap,SNAP/snap
ICE - Intercontinental Exchange,ICE/intercontinental-exchange
ITW - Illinois Tool Works,ITW/illinois-tool-works
CI - Cigna,CI/cigna
SQ - Block,SQ/block
EQIX - Equinix,EQIX/equinix
MRVL - Marvell Technology,MRVL/marvell-technology
PDD - Pinduoduo,PDD/pinduoduo
MCO - Moody's,MCO/moodys
SO - Southern,SO/southern
VALE - VALE S.A,VALE/vale-sa
BDX - Becton Dickinson,BDX/becton-dickinson
NSC - Norfolk Southern,NSC/norfolk-southern
PBR - Petroleo Brasileiro S.A.- Petrobras,PBR/petroleo-brasileiro-sa--petrobras
CL - Colgate-Palmolive,CL/colgate-palmolive
IWM - IShares Russell 2000 ETF,IWM/ishares-russell-2000-etf
MUFG - Mitsubishi UFJ Financial,MUFG/mitsubishi-ufj-financial
NTES - NetEase,NTES/netease
BMO - Bank Of Montreal,BMO/bank-of-montreal
WM - Waste Management,WM/waste-management
"AMX - America Movil, S.A.B De C.V","AMX/america-movil,-sab-de-cv"
WDAY - Workday,WDAY/workday
REGN - Regeneron Pharmaceuticals,REGN/regeneron-pharmaceuticals
FISV - Fiserv,FISV/fiserv
FDX - FedEx,FDX/fedex
ETN - Eaton,ETN/eaton
IBN - ICICI Bank,IBN/icici-bank
APD - Air Products And Chemicals,APD/air-products-and-chemicals
MELI - MercadoLibre,MELI/mercadolibre
ECL - Ecolab,ECL/ecolab
FIS - Fidelity National Information Services,FIS/fidelity-national-information-services
PBR.A - Petroleo Brasileiro S.A.- Petrobras,PBR.A/petroleo-brasileiro-sa--petrobras
AON - Aon,AON/aon
PSA - Public Storage,PSA/public-storage
KLAC - KLA,KLAC/kla
ADI - Analog Devices,ADI/analog-devices
LCID - Lucid,LCID/lucid
D - Dominion Energy,D/dominion-energy
BBL - BHP Billiton,BBL/bhp-billiton
RELX - RELX,RELX/relx
UBS - UBS Group AG,UBS/ubs-group-ag
BNTX - BioNTech SE,BNTX/biontech-se
ADSK - Autodesk,ADSK/autodesk
COF - Capital One Financial,COF/capital-one-financial
BSX - Boston Scientific,BSX/boston-scientific
FCX - Freeport-McMoRan,FCX/freeport-mcmoran
NOC - Northrop Grumman,NOC/northrop-grumman
NXPI - NXP Semiconductors,NXPI/nxp-semiconductors
PGR - Progressive,PGR/progressive
ILMN - Illumina,ILMN/illumina
HUM - Humana,HUM/humana
FTNT - Fortinet,FTNT/fortinet
GD - General Dynamics,GD/general-dynamics
TRI - Thomson Reuters Corp,TRI/thomson-reuters-corp
"SAN - Banco Santander, S.A","SAN/banco-santander,-sa"
EFA - IShares MSCI EAFE ETF,EFA/ishares-msci-eafe-etf
JCI - Johnson Controls,JCI/johnson-controls
GLD - SPDR Gold Shares,GLD/spdr-gold-shares
WBK - Westpac Banking,WBK/westpac-banking
SNPS - Synopsys,SNPS/synopsys
ZM - Zoom Video Communications,ZM/zoom-video-communications
SNP - China Petroleum & Chemical,SNP/china-petroleum-chemical
VRTX - Vertex Pharmaceuticals,VRTX/vertex-pharmaceuticals
EXC - Exelon,EXC/exelon
IDXX - IDEXX Laboratories,IDXX/idexx-laboratories
DDOG - Datadog,DDOG/datadog
PANW - Palo Alto Networks,PANW/palo-alto-networks
COIN - Coinbase Global,COIN/coinbase-global
EMR - Emerson Electric,EMR/emerson-electric
DG - Dollar General,DG/dollar-general
ING - ING Group,ING/ing-group
IQV - IQVIA Holdings,IQV/iqvia-holdings
MAR - Marriott,MAR/marriott
WIT - Wipro,WIT/wipro
XLNX - Xilinx,XLNX/xilinx
TEAM - Atlassian,TEAM/atlassian
INFO - IHS Markit,INFO/ihs-markit
NGG - National Grid Transco,NGG/national-grid-transco
MET - MetLife,MET/metlife
SPG - Simon Property,SPG/simon-property
ATVI - Activision Blizzard,ATVI/activision-blizzard
DXCM - DexCom,DXCM/dexcom
BIDU - Baidu,BIDU/baidu
TEL - TE Connectivity,TEL/te-connectivity
DASH - DoorDash,DASH/doordash
ALGN - Align Technology,ALGN/align-technology
EOG - EOG Resources,EOG/eog-resources
CDNS - Cadence Design Systems,CDNS/cadence-design-systems
CM - Canadian Imperial Bank Of Commerce,CM/canadian-imperial-bank-of-commerce
APH - Amphenol,APH/amphenol
KDP - Keurig Dr Pepper,KDP/keurig-dr-pepper
RBLX - Roblox,RBLX/roblox
CPNG - Coupang,CPNG/coupang
ROP - Roper Technologies,ROP/roper-technologies
LULU - Lululemon Athletica Inc,LULU/lululemon-athletica-inc
NIO - NIO,NIO/nio
MSCI - MSCI Inc,MSCI/msci-inc
